pl_orbper,pl_rade,pl_bmassj,st_teff,st_rad,st_mass,pl_disposition
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CANDIDATE
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,FALSE POSITIVE
,,,,,,FALSE POSITIVE
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,FALSE POSITIVE
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CANDIDATE
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,CANDIDATE
,,,,,,CANDIDATE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,CANDIDATE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CANDIDATE
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CANDIDATE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,CANDIDATE
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,CANDIDATE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,FALSE POSITIVE
,,,,,,FALSE POSITIVE
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
,,,,,,CONFIRMED
